,periodo,Quantidade de Bolsas iniciadas,Quantidade pagamentos por bolsa,Matriculados,Incidencia de Bolsas iniciadas,Incidencia da quant de pagamanetos iniciados no ano,Quantidade pagamentos por bolsa iniciadas no ano
0,2010,31,897.0,4329,0.007161007161007161,0.2072072072072072,28.93548387096774
1,2011,232,6706.0,4932,0.047039740470397405,1.359691808596918,28.905172413793103
2,2012,165,3473.0,5486,0.03007655851257747,0.6330659861465548,21.048484848484847
3,2013,387,6731.0,5957,0.06496558670471714,1.1299311734094344,17.392764857881136
4,2014,446,3876.0,6200,0.07193548387096774,0.6251612903225806,8.690582959641256
5,2015,940,4634.0,6284,0.14958625079567156,0.7374283895607893,4.9297872340425535
6,2016,865,5076.0,6358,0.1360490720352312,0.7983642654922932,5.868208092485549
7,2017,381,4098.0,6119,0.06226507599280928,0.6697172740643896,10.755905511811024
